행정구역명,행정동코드,주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호)
한림읍,50110250,170431,60578,58244,18880,28829,3900
애월읍,50110253,170431,60578,58244,18880,28829,3900
구좌읍,50110256,170431,60578,58244,18880,28829,3900
조천읍,50110259,170431,60578,58244,18880,28829,3900
한경면,50110310,170431,60578,58244,18880,28829,3900
추자면,50110320,170431,60578,58244,18880,28829,3900
우도면,50110330,170431,60578,58244,18880,28829,3900
일도1동,50110510,170431,60578,58244,18880,28829,3900
일도2동,50110520,170431,60578,58244,18880,28829,3900
이도1동,50110530,170431,60578,58244,18880,28829,3900
이도2동,50110540,170431,60578,58244,18880,28829,3900
삼도1동,50110550,170431,60578,58244,18880,28829,3900
삼도2동,50110560,170431,60578,58244,18880,28829,3900
용담1동,50110570,170431,60578,58244,18880,28829,3900
용담2동,50110580,170431,60578,58244,18880,28829,3900
건입동,50110590,170431,60578,58244,18880,28829,3900
화북동,50110600,170431,60578,58244,18880,28829,3900
삼양동,50110610,170431,60578,58244,18880,28829,3900
봉개동,50110620,170431,60578,58244,18880,28829,3900
아라동,50110630,170431,60578,58244,18880,28829,3900
오라동,50110640,170431,60578,58244,18880,28829,3900
연동,50110650,170431,60578,58244,18880,28829,3900
노형동,50110660,170431,60578,58244,18880,28829,3900
외도동,50110670,170431,60578,58244,18880,28829,3900
이호동,50110680,170431,60578,58244,18880,28829,3900
도두동,50110690,170431,60578,58244,18880,28829,3900
대정읍,50130250,71357,34108,18251,10641,6543,1814
남원읍,50130253,71357,34108,18251,10641,6543,1814
성산읍,50130259,71357,34108,18251,10641,6543,1814
안덕면,50130310,71357,34108,18251,10641,6543,1814
표선면,50130320,71357,34108,18251,10641,6543,1814
송산동,50130510,71357,34108,18251,10641,6543,1814
정방동,50130520,71357,34108,18251,10641,6543,1814
중앙동,50130530,71357,34108,18251,10641,6543,1814
천지동,50130540,71357,34108,18251,10641,6543,1814
효돈동,50130550,71357,34108,18251,10641,6543,1814
영천동,50130560,71357,34108,18251,10641,6543,1814
동홍동,50130570,71357,34108,18251,10641,6543,1814
서홍동,50130580,71357,34108,18251,10641,6543,1814
대륜동,50130590,71357,34108,18251,10641,6543,1814
대천동,50130600,71357,34108,18251,10641,6543,1814
중문동,50130610,71357,34108,18251,10641,6543,1814
예래동,50130620,71357,34108,18251,10641,6543,1814
