use_cnt,use_amt
2018-01-31,7933,290431278
2018-02-28,4922,195870617
2018-03-31,5107,177446688
2018-04-30,5060,168054124
2018-05-31,5073,187931451
2018-06-30,4802,187104600
2018-07-31,6288,210439552
2018-08-31,7475,237965036
2018-09-30,6052,220159204
2018-10-31,6444,217978179
2018-11-30,5245,200023456
2018-12-31,5245,201375148
2019-01-31,6302,232779056
2019-02-28,6175,205395781
2019-03-31,5702,185669893
2019-04-30,5605,195979797
2019-05-31,6725,234908907
2019-06-30,6220,206107416
2019-07-31,5901,182317649
2019-08-31,5606,202005018
2019-09-30,5294,177061133
2019-10-31,5876,202258401
2019-11-30,5585,196369681
2019-12-31,5784,179502914
2020-01-31,5628,182277366
2020-02-29,5296,144287056
2020-03-31,6040,197273750
2020-04-30,6432,207309895
2020-05-31,8414,266037857
2020-06-30,8865,297824869
2020-07-31,6129,212088143
2020-08-31,6640,205674492
2020-09-30,7808,263746722
2020-10-31,8440,303357061
2020-11-30,8519,312563299
2020-12-31,5869,197864119
2021-01-31,5348,180676329
2021-02-28,4305,159696790
2021-03-31,5049,186445683
2021-04-30,4993,137582002
2021-05-31,5225,165997264
2021-06-30,4996,150722192
